LD      LU      RD      RU      Ctrl    UDM
28.77    -8.59    -0.83    8.26     0        0
28.78    -8.58    -0.79    8.3      0        0
28.78    -8.56    -0.79    8.32     34       0
28.78    -8.55    -0.77    8.31     0        0
28.77    -8.55    -0.76    8.3      0        0
28.77    -8.56    -0.74    8.27     0        0
28.76    -8.56    -0.72    8.27     0        0
28.75    -8.54    -0.71    8.3      0        0
28.74    -8.52    -0.71    8.34     0        0
28.73    -8.51    -0.7     8.34     0        0
28.72    -8.53    -0.68    8.33     0        0
28.72    -8.53    -0.69    8.33     0        0
28.72    -8.54    -0.7     8.32     0        0
28.72    -8.53    -0.73    8.34     0        0
28.71    -8.51    -0.74    8.35     0        0
28.71    -8.5     -0.72    8.36     0        0
28.71    -8.49    -0.72    8.35     0        0
28.7     -8.48    -0.7     8.36     0        0
28.7     -8.48    -0.71    8.39     0        0
28.7     -8.45    -0.71    8.42     0        0
28.7     -8.43    -0.7     8.44     0        0
28.7     -8.43    -0.69    8.47     0        0
28.71    -8.42    -0.7     8.48     0        0
28.71    -8.4     -0.69    8.5      0        0
28.71    -8.38    -0.68    8.54     0        0
28.71    -8.36    -0.69    8.55     0        0
28.71    -8.34    -0.67    8.58     0        0
28.71    -8.31    -0.65    8.59     0        0
28.72    -8.31    -0.66    8.6      0        0
28.72    -8.29    -0.66    8.59     0        0
28.72    -8.29    -0.66    8.6      0        0
28.73    -8.28    -0.66    8.59     0        0
28.75    -8.27    -0.68    8.62     0        0
28.75    -8.23    -0.7     8.65     0        0
28.76    -8.15    -0.72    8.71     0        0
28.76    -8.04    -0.77    8.73     0        0
28.76    -7.94    -0.81    8.78     0        0
28.75    -7.82    -0.84    8.79     0        0
28.75    -7.66    -0.95    8.82     0        0
28.74    -7.32    -1.14    8.86     0        0
28.75    -6.89    -1.44    8.9      0        0
28.76    -6.46    -1.93    8.94     0        0
28.77    -6.13    -2.73    8.93     34       0
28.79    -6.02    -3.89    8.89     0        0
28.79    -5.83    -4.49    8.81     0        0
28.79    -5.89    -4.04    8.78     0        0
28.79    -6.33    -3.76    8.8      0        0
28.79    -6.48    -4.16    8.83     0        0
28.79    -6.6     -4.35    8.88     0        0
28.78    -6.94    -4.16    8.84     0        0
28.77    -6.63    -4.19    8.81     0        0
28.76    -6.83    -4.37    8.83     0        0
28.77    -6.18    -4.37    8.81     0        0
28.76    -6.48    -4.3     8.74     0        0
28.76    -5.97    -4.39    8.65     0        0
28.76    -6.35    -4.51    8.59     0        0
28.76    -6.36    -4.49    8.54     0        0
28.76    -6.51    -4.5     8.5      0        0
28.77    -6.52    -4.56    8.48     0        0
28.76    -6.54    -4.59    8.45     0        0
28.76    -6.54    -4.59    8.42     0        0
28.76    -6.6     -4.63    8.42     0        0
28.75    -6.67    -4.66    8.41     0        0
28.74    -6.73    -4.66    8.43     0        0
28.73    -6.78    -4.68    8.5      0        0
28.73    -6.79    -4.72    8.57     0        0
28.73    -6.81    -4.74    8.6      0        0
28.73    -6.78    -4.76    8.6      0        0
28.73    -6.78    -4.79    8.61     0        0
28.73    -6.72    -4.81    8.68     0        0
28.74    -6.62    -4.82    8.78     0        0
28.75    -6.52    -4.83    8.85     0        0
28.75    -6.49    -4.84    8.88     0        0
28.75    -6.47    -4.85    8.91     0        0
28.76    -6.38    -4.87    8.98     0        0
28.77    -6.33    -4.89    9.05     0        0
28.77    -6.32    -4.9     9.07     0        0
28.77    -6.44    -4.89    8.99     0        0
28.78    -6.67    -4.9     8.85     0        0
28.78    -6.85    -4.91    8.71     0        0
28.78    -6.64    -4.9     8.51     0        0
28.78    -6.63    -4.92    8.32     0        0
28.78    -6.75    -4.91    8.08     34       0
28.78    -6.77    -4.92    7.87     0        0
28.79    -6.85    -4.95    7.78     0        0
28.79    -6.87    -4.95    7.8      0        0
28.8     -6.81    -4.95    7.83     0        0
28.79    -6.72    -4.95    7.87     0        0
28.78    -6.63    -4.94    7.93     0        0
28.79    -6.56    -4.94    7.98     0        0
28.78    -6.5     -4.94    7.99     0        0
28.77    -6.47    -4.93    8.02     0        0
28.78    -6.43    -4.92    8.05     0        0
28.78    -6.36    -4.92    8.08     0        0
28.77    -6.31    -4.93    8.1      0        0
28.77    -6.26    -4.96    8.13     0        0
28.76    -6.18    -4.97    8.19     0        0
28.77    -6.09    -4.99    8.26     0        0
28.77    -6.01    -5.0     8.35     0        0
28.78    -5.9     -5.02    8.42     0        0
28.79    -5.86    -5.03    8.45     0        0
28.8     -5.86    -5.03    8.45     0        0
28.8     -5.85    -5.05    8.43     0        0
28.8     -5.88    -5.04    8.4      0        0
28.79    -5.88    -5.04    8.41     0        0
28.79    -5.86    -5.05    8.43     0        0
28.78    -5.85    -5.06    8.46     0        0
28.78    -5.86    -5.07    8.47     0        0
28.78    -5.85    -5.06    8.47     0        0
28.78    -5.86    -5.1     8.48     0        0
28.78    -5.84    -5.11    8.49     0        0
28.79    -5.87    -5.09    8.54     0        0
28.78    -5.83    -5.09    8.58     0        0
28.78    -5.8     -5.08    8.63     0        0
28.78    -5.8     -5.09    8.67     0        0
28.78    -5.78    -5.1     8.7      0        0
28.78    -5.75    -5.08    8.72     0        0
28.77    -5.77    -5.08    8.73     0        0
28.77    -5.71    -5.07    8.78     0        0
28.79    -5.68    -5.09    8.84     0        0
28.79    -5.66    -5.09    8.87     0        0
28.8     -5.66    -5.08    8.84     0        0
28.8     -5.68    -5.07    8.84     34       0
28.79    -5.64    -5.08    8.87     0        0
